cross_validation; iteration; train_size; num_stages; alpha; overage_cost; eoh_underage; method; radius; train_time; train_mean; train_std; train_valid; test_mean; test_std; test_valid
AV;2; 10; 5; 0.250000;0.040000;2.000000; AFF; 3.162300; 0.049828; 35.834976;4982.582072;1.000000; 39.964470;363.144549;0.993900
AV;2; 10; 5; 0.250000;0.040000;2.000000; AFF; 5.623400; 0.058591; 37.150231;5845.960460;1.000000; 40.233117;-nan;0.992300
AV;2; 10; 5; 0.250000;0.040000;2.000000; AFF; 10.000000; 0.046743; 39.793541;3056.771565;1.000000; 41.886296;-nan;0.996100
AV;2; 10; 5; 0.250000;0.040000;2.000000; AFF; 17.783000; 0.083866; 43.885860;3772.322560;1.000000; 45.191777;329.205197;1.000000
AV;2; 10; 5; 0.250000;0.040000;2.000000; AFF; 31.623000; 0.073099; 50.866488;3305.256102;1.000000; 51.625692;203.647706;1.000000
AV;2; 10; 5; 0.250000;0.040000;2.000000; LIFTE; 0.000000; 0.122235; 23.580961;4586.008548;1.000000; 126.246863;-nan;0.615000
AV;2; 10; 5; 0.250000;0.040000;2.000000; LIFTE; 0.001000; 0.783696; 23.581880;4586.008242;1.000000; 55.581579;-nan;0.801300
AV;2; 10; 5; 0.250000;0.040000;2.000000; LIFTE; 0.010000; 0.674819; 23.590160;4585.373289;1.000000; 55.536582;-nan;0.801500
AV;2; 10; 5; 0.250000;0.040000;2.000000; LIFTE; 0.100000; 0.618426; 23.673969;4578.782688;1.000000; 54.835995;-nan;0.820700
AV;2; 10; 5; 0.250000;0.040000;2.000000; LIFTE; 0.316200; 0.738746; 23.874665;4487.947292;1.000000; 53.335099;-nan;0.827300
AV;2; 10; 5; 0.250000;0.040000;2.000000; LIFTE; 1.000000; 0.681606; 24.434552;3935.834549;1.000000; 46.061837;-nan;0.864200
AV;2; 10; 5; 0.250000;0.040000;2.000000; LIFTE; 1.778300; 0.717327; 24.958809;2286.842889;1.000000; 41.424157;-nan;0.878600
AV;2; 10; 5; 0.250000;0.040000;2.000000; LIFTE; 3.162300; 0.699852; 25.913675;1977.411717;1.000000; 41.659221;90.352089;0.870800
AV;2; 10; 5; 0.250000;0.040000;2.000000; LIFTE; 5.623400; 0.940443; 27.886482;1067.610697;1.000000; 39.402901;-nan;0.902900
AV;2; 10; 5; 0.250000;0.040000;2.000000; LIFTE; 10.000000; 0.904887; 30.048257;1416.689063;1.000000; 37.343260;-nan;0.918500
AV;2; 10; 5; 0.250000;0.040000;2.000000; LIFTE; 17.783000; 1.290381; 34.478253;66.909641;1.000000; 36.520392;-nan;0.997100
AV;2; 10; 5; 0.250000;0.040000;2.000000; LIFTE; 31.623000; 2.196788; 38.865598;485.898755;1.000000; 40.282721;-nan;1.000000
AV;0; 10; 5; 0.250000;0.040000;2.000000; AFF; 0.000000; 0.014424; 30.171686;-nan;1.000000; 45.989186;-nan;0.875200
AV;0; 10; 5; 0.250000;0.040000;2.000000; AFF; 0.001000; 0.078387; 30.172186;-nan;1.000000; 45.988050;-nan;0.875200
